Date,Name(s)
January 1,Mečislav
January 2,Karina
January 3,Radmila
January 4,Diana
January 5,Dalimil
January 6,Kašpar, Melichar, Baltazar
January 7,Vilma
January 8,Čestmír
January 9,Vladan
January 10,Břetislav
January 11,Bohdana
January 12,Pravoslav
January 13,Edita
January 14,Radovan
January 15,Alice
January 16,Ctirad
January 17,Drahoslav
January 18,Vladislav
January 19,Doubravka
January 20,Ilona
January 21,Běla
January 22,Slavomír
January 23,Zdeněk
January 24,Milena
January 25,Miloš
January 26,Zora
January 27,Ingrid
January 28,Otýlie
January 29,Zdislava
January 30,Robin
January 31,Marika
February 1,Hynek
February 2,Nela, Hromnice
February 3,Blažej
February 4,Jarmila
February 5,Dobromila
February 6,Vanda
February 7,Veronika
February 8,Milada
February 9,Apolena
February 10,Mojmír
February 11,Božena
February 12,Slavěna
February 13,Věnceslav
February 14,Valentýn
February 15,Jiřina
February 16,Ljuba
February 17,Miloslava
February 18,Gizela
February 19,Patrik
February 20,Oldřich
February 21,Lenka
February 22,Petr
February 23,Svatopluk
February 24,Matěj
February 25,Liliana
February 26,Dorota
February 27,Alexandr
February 28,Lumír
March 1,Bedřich
March 2,Anežka
March 3,Kamil
March 4,Stela
March 5,Kazimír
March 6,Miroslav
March 7,Tomáš
March 8,Gabriela
March 9,Františka
March 10,Viktorie
March 11,Anděla
March 12,Řehoř
March 13,Růžena
March 14,Matylda, Rút
March 15,Ida
March 16,Elena, Herbert
March 17,Vlastimil
March 18,Eduard
March 19,Josef
March 20,Světlana
March 21,Radek
March 22,Leona
March 23,Ivona
March 24,Gabriel
March 25,Marián
March 26,Emanuel
March 27,Dita
March 28,Soňa
March 29,Taťána
March 30,Arnošt
March 31,Kvido
April 1,Hugo
April 2,Erika
April 3,Richard
April 4,Ivana
April 5,Miroslava
April 6,Vendula
April 7,Heřman, Hermína
April 8,Ema
April 9,Dušan
April 10,Darja
April 11,Izabela
April 12,Julius
April 13,Aleš
April 14,Vincenc
April 15,Anastázie
April 16,Irena
April 17,Rudolf
April 18,Valérie
April 19,Rostislav
April 20,Marcela
April 21,Alexandra
April 22,Evženie
April 23,Vojtěch
April 24,Jiří
April 25,Marek
April 26,Oto
April 27,Jaroslav
April 28,Vlastislav
April 29,Robert
April 30,Blahoslav
May 1,Svátek práce
May 2,Zikmund
May 3,Alexej
May 4,Květoslav
May 5,Klaudie
May 6,Benedikt
May 7,Stanislav
May 8,Státní svátek
May 9,Ctibor
May 10,Blažena
May 11,Svatava
May 12,Pankrác
May 13,Servác
May 14,Bonifác
May 15,Žofie
May 16,Přemysl
May 17,Aneta
May 18,Nataša
May 19,Ivo
May 20,Zbyšek
May 21,Monika
May 22,Emil
May 23,Vladimír
May 24,Jana
May 25,Urban
May 26,Filip
May 27,Valdemar
May 28,Vilém
May 29,Maxmilián
May 30,Ferdinand
May 31,Kamila
June 1,Laura
June 2,Jarmil
June 3,Tamara
June 4,Dalibor
June 5,Dobroslav
June 6,Norbert
June 7,Iveta, Slavoj
June 8,Medard
June 9,Stanislava
June 10,Gita
June 11,Bruno
June 12,Antonie
June 13,Antonín
June 14,Květa
June 15,Vít
June 16,Zbyněk
June 17,Adolf
June 18,Milan
June 19,Leoše
June 20,Květuše
June 21,Alois
June 22,Pavla
June 23,Zdeňka
June 24,Jan
June 25,Ivan
June 26,Adriana
June 27,Ladislav
June 28,Lubomír
June 29,Petr a Pavel
June 30,Šárka
July 1,Jaroslava
July 2,Patricie
July 3,Radomír
July 4,Prokop
July 5,Státní svátek
July 6,Státní svátek
July 7,Bohuslava
July 8,Nora
July 9,Drahoslava
July 10,Libuše, Amálie
July 11,Olga
July 12,Bořek
July 13,Markéta
July 14,Karolína
July 15,Jindřich
July 16,Luboš
July 17,Martina
